GENDER,AGE,MARITAL_STATUS,PROFESSION
M,41,Married,Trades
M,41,Married,Trades
F,25,Single,Other
F,23,Single,Other
F,25,Single,Other
F,30,Married,Hospitality
M,49,Unspecified,Trades
M,39,Married,Other
F,34,Married,Other
F,34,Married,Other
M,28,Single,Student
F,42,Married,Other
F,27,Single,Other
M,25,Single,Professional
M,55,Married,Other
M,27,Married,Other
M,27,Married,Other
F,19,Single,Professional
M,50,Married,Professional
F,33,Married,Other
F,33,Married,Other
M,35,Married,Sales
M,26,Married,Sales
M,26,Married,Sales
F,31,Married,Retail
F,31,Married,Retail
M,42,Married,Sales
M,42,Married,Sales
F,40,Married,Other
F,40,Married,Other
F,21,Married,Other
F,19,Single,Other
F,43,Married,Other
F,43,Married,Other
F,31,Married,Other
F,31,Married,Other
F,49,Married,Executive
F,49,Married,Executive
M,43,Married,Trades
M,43,Married,Trades
F,29,Single,Hospitality
F,29,Single,Hospitality
F,24,Single,Retail
M,20,Single,Other
M,20,Single,Other
M,33,Married,Executive
M,19,Single,Other
M,27,Married,Other
M,27,Married,Executive
M,27,Married,Executive
M,27,Married,Executive
F,22,Single,Other
F,22,Single,Other
F,25,Single,Retail
F,39,Married,Other
F,28,Single,Other
F,20,Single,Student
F,46,Married,Other
F,46,Married,Other
M,22,Single,Other
F,40,Married,Other
F,27,Single,Other
F,57,Married,Retired
F,27,Single,Other
F,27,Single,Other
F,21,Single,Other
F,25,Married,Executive
M,35,Married,Other
M,39,Married,Executive
M,39,Married,Executive
F,33,Married,Hospitality
F,23,Single,Retail
F,44,Married,Other
M,31,Married,Sales
M,31,Married,Sales
F,23,Single,Retail
M,24,Single,Student
M,24,Single,Student
M,31,Single,Professional
M,31,Single,Professional
F,19,Single,Retail
M,33,Single,Other
M,33,Single,Other
M,41,Married,Other
F,25,Married,Other
F,25,Married,Other
M,43,Single,Other
M,43,Single,Other
M,43,Single,Other
M,19,Single,Other
M,19,Single,Other
M,28,Single,Sales
M,28,Single,Sales
M,27,Single,Sales
F,38,Married,Other
F,38,Married,Other
M,37,Married,Trades
F,34,Married,Other
F,34,Married,Other
F,46,Married,Executive
F,46,Married,Executive
M,41,Married,Other
M,41,Married,Other
M,44,Single,Professional
F,38,Single,Retail
F,31,Married,Hospitality
F,31,Married,Hospitality
F,27,Married,Retail
F,27,Married,Retail
F,45,Married,Other
M,24,Single,Student
M,24,Single,Student
M,39,Married,Other
M,39,Married,Other
F,28,Single,Student
F,28,Single,Student
M,32,Single,Other
M,32,Single,Other
M,32,Single,Other
F,52,Unspecified,Hospitality
M,37,Unspecified,Trades
M,29,Single,Professional
M,41,Married,Professional
F,34,Single,Retail
F,50,Married,Other
F,50,Married,Other
M,27,Single,Trades
F,27,Single,Other
M,19,Single,Professional
F,23,Married,Other
F,23,Married,Other
M,36,Married,Sales
F,27,Single,Other
F,23,Single,Hospitality
M,27,Married,Other
M,41,Married,Executive
F,28,Single,Other
F,31,Married,Professional
M,32,Married,Executive
M,32,Married,Executive
F,64,Married,Other
F,27,Single,Student
F,29,Married,Other
M,36,Married,Executive
M,35,Married,Executive
M,35,Married,Executive
M,35,Married,Executive
M,35,Married,Executive
M,35,Married,Executive
M,35,Married,Executive
F,48,Married,Retail
F,48,Married,Retail
M,34,Married,Other
M,34,Married,Other
M,22,Single,Sales
M,28,Single,Professional
F,35,Single,Professional
F,38,Married,Executive
M,39,Single,Other
F,24,Single,Student
F,31,Single,Other
M,42,Married,Other
M,42,Married,Other
F,23,Single,Hospitality
F,36,Married,Other
F,36,Married,Other
F,22,Single,Student
F,26,Single,Sales
M,31,Single,Trades
M,31,Single,Trades
F,31,Married,Other
F,49,Married,Professional
F,22,Single,Retail
M,37,Married,Other
M,25,Single,Other
M,37,Married,Trades
M,37,Married,Trades
M,43,Married,Sales
M,43,Married,Sales
M,43,Married,Sales
M,43,Single,Other
M,43,Single,Other
M,43,Single,Other
M,43,Single,Other
F,35,Married,Professional
F,35,Married,Professional
F,49,Married,Other
F,49,Married,Other
F,35,Unspecified,Hospitality
F,35,Unspecified,Hospitality
F,35,Unspecified,Hospitality
F,35,Unspecified,Hospitality
M,28,Single,Professional
M,35,Married,Other
M,26,Married,Executive
M,44,Married,Other
M,28,Married,Other
M,28,Married,Other
F,38,Married,Executive
M,22,Single,Professional
M,22,Single,Professional
M,24,Single,Retail
M,24,Single,Retail
M,24,Single,Retail
F,41,Unspecified,Hospitality
F,41,Unspecified,Hospitality
F,29,Single,Other
F,65,Unspecified,Hospitality
M,42,Married,Sales
F,40,Married,Sales
M,37,Unspecified,Trades
M,37,Unspecified,Trades
M,37,Unspecified,Trades
F,32,Married,Executive
F,21,Single,Hospitality
F,21,Single,Hospitality
M,43,Married,Sales
F,67,Married,Other
M,40,Married,Other
M,40,Married,Other
M,19,Single,Student
M,19,Single,Student
M,19,Single,Student
F,39,Married,Other
M,50,Unspecified,Other
M,50,Unspecified,Other
M,29,Single,Trades
M,29,Single,Trades
F,48,Unspecified,Hospitality
F,22,Single,Retail
F,37,Married,Other
M,23,Single,Executive
M,23,Single,Executive
F,37,Married,Professional
F,32,Married,Executive
F,32,Married,Executive
F,19,Single,Other
F,26,Single,Other
M,39,Married,Other
F,37,Married,Other
F,37,Married,Other
F,20,Married,Retail
F,51,Married,Other
F,24,Single,Professional
M,38,Single,Professional
M,38,Single,Professional
M,38,Single,Professional
M,38,Married,Trades
M,36,Married,Trades
M,36,Married,Trades
F,44,Married,Executive
F,20,Single,Other
M,31,Single,Professional
M,31,Single,Professional
F,46,Married,Hospitality
F,46,Married,Hospitality
M,32,Single,Other
M,28,Single,Trades
M,28,Single,Trades
M,28,Single,Trades
F,37,Married,Other
F,37,Married,Other
F,37,Married,Other
M,33,Single,Other
F,29,Single,Retail
M,35,Married,Other
M,35,Married,Other
F,28,Single,Professional
M,32,Married,Professional
M,31,Single,Other
M,31,Single,Other
F,22,Single,Professional
M,26,Single,Sales
M,44,Married,Trades
M,30,Married,Professional
F,28,Single,Retail
F,28,Married,Executive
M,29,Single,Other
M,29,Single,Other
M,35,Married,Sales
M,40,Married,Other
M,40,Married,Other
M,21,Single,Student
M,29,Single,Professional
M,40,Married,Other
M,46,Married,Professional
M,46,Married,Professional
M,46,Married,Professional
M,31,Unspecified,Professional
M,22,Single,Sales
M,22,Single,Sales
F,35,Married,Professional
F,32,Married,Executive
M,39,Married,Other
M,39,Married,Other
M,19,Single,Sales
F,26,Single,Other
M,42,Married,Other
M,42,Married,Other
F,41,Married,Other
F,41,Married,Other
M,24,Single,Other
F,48,Married,Other
M,41,Married,Professional
M,41,Married,Professional
F,46,Married,Other
F,39,Married,Other
F,20,Single,Other
F,19,Single,Other
F,42,Married,Sales
F,32,Married,Professional
F,21,Single,Other
M,25,Single,Other
M,25,Single,Other
F,48,Married,Professional
M,30,Single,Other
M,30,Single,Other
M,27,Single,Professional
M,49,Married,Professional
M,49,Married,Professional
M,49,Married,Professional
M,40,Married,Other
F,38,Unspecified,Hospitality
F,38,Unspecified,Hospitality
M,55,Unspecified,Other
M,55,Unspecified,Other
M,21,Single,Sales
M,21,Single,Sales
F,57,Married,Other
F,57,Married,Other
F,57,Married,Other
F,24,Single,Sales
F,34,Married,Executive
F,34,Married,Executive
F,34,Married,Executive
M,34,Married,Executive
M,34,Married,Executive
F,28,Single,Sales
M,29,Single,Sales
F,21,Married,Retail
F,21,Married,Retail
F,21,Married,Retail
F,39,Married,Other
F,39,Married,Other
F,39,Married,Other
F,39,Married,Other
M,34,Single,Trades
M,34,Single,Trades
M,34,Married,Other
F,34,Married,Executive
F,26,Married,Other
F,26,Married,Other
F,37,Single,Other
F,29,Single,Other
M,19,Single,Professional
M,41,Married,Other
M,41,Married,Other
M,41,Married,Other
F,27,Single,Professional
M,33,Single,Trades
F,38,Single,Other
F,44,Married,Other
F,40,Married,Other
F,40,Married,Other
F,40,Married,Other
F,40,Married,Other
M,31,Married,Trades
M,32,Married,Executive
M,35,Married,Other
M,35,Married,Other
F,18,Single,Professional
M,40,Married,Other
M,40,Married,Other
M,40,Married,Other
M,57,Married,Trades
M,57,Married,Trades
M,20,Single,Other
F,27,Single,Other
F,51,Married,Other
F,33,Single,Professional
F,21,Single,Professional
M,25,Single,Other
F,32,Married,Other
F,32,Married,Other
F,32,Married,Other
F,22,Married,Other
F,26,Single,Other
M,22,Single,Sales
M,22,Single,Sales
M,25,Single,Student
M,25,Single,Student
M,25,Single,Student
F,26,Married,Other
F,26,Married,Other
F,62,Married,Other
M,21,Single,Trades
M,21,Single,Trades
F,31,Married,Hospitality
F,31,Married,Hospitality
M,19,Single,Professional
M,19,Single,Professional
F,25,Single,Other
F,25,Single,Other
F,35,Single,Professional
M,28,Single,Sales
M,28,Single,Sales
M,24,Single,Other
F,37,Married,Other
M,36,Married,Professional
M,36,Married,Professional
M,36,Married,Professional
M,40,Married,Other
M,40,Married,Other
M,37,Married,Other
F,67,Married,Other
M,24,Single,Other
M,24,Single,Other
F,23,Single,Other
M,34,Married,Sales
M,19,Single,Other
F,37,Single,Retail
F,20,Single,Other
F,38,Married,Professional
F,25,Single,Other
F,27,Single,Professional
M,33,Married,Other
M,33,Married,Other
M,33,Married,Other
F,20,Single,Other
M,31,Single,Other
M,42,Married,Other
M,21,Single,Student
M,48,Unspecified,Other
M,48,Unspecified,Other
M,48,Unspecified,Other
F,49,Married,Other
F,49,Married,Hospitality
F,38,Married,Executive
F,38,Married,Executive
M,31,Single,Professional
F,24,Single,Other
F,24,Single,Other
F,24,Single,Other
F,24,Single,Other
M,25,Single,Other
M,25,Single,Other
M,19,Single,Student
M,30,Married,Other
M,30,Married,Other
M,44,Single,Other
F,26,Single,Other
F,36,Married,Other
M,42,Single,Other
M,42,Single,Other
F,38,Married,Executive
M,39,Married,Sales
F,45,Married,Hospitality
F,20,Single,Other
F,33,Married,Other
F,47,Married,Retired
F,34,Married,Retail
M,40,Married,Trades
F,25,Married,Professional
F,25,Single,Professional
M,19,Single,Professional
M,19,Single,Professional
M,27,Married,Professional
F,47,Unspecified,Hospitality
M,40,Married,Trades
M,40,Married,Trades
M,40,Married,Trades
M,29,Married,Professional
F,19,Single,Student
M,34,Single,Professional
M,34,Single,Professional
F,46,Married,Executive
F,46,Married,Executive
F,52,Married,Other
M,38,Married,Executive
M,38,Married,Executive
M,43,Single,Sales
F,30,Married,Hospitality
F,31,Married,Other
F,31,Married,Other
F,31,Married,Other
M,24,Single,Professional
F,29,Single,Hospitality
F,39,Unspecified,Other
F,39,Unspecified,Other
F,39,Unspecified,Other
F,62,Married,Other
F,29,Single,Professional
F,51,Married,Other
F,52,Married,Other
F,52,Married,Other
F,46,Married,Other
F,46,Married,Other
M,22,Single,Professional
F,52,Married,Other
M,23,Single,Professional
M,29,Single,Trades
M,40,Married,Sales
M,37,Married,Sales
M,37,Married,Sales
M,40,Married,Sales
M,56,Married,Other
M,27,Single,Professional
M,27,Single,Professional
F,52,Married,Other
F,27,Single,Professional
M,20,Single,Trades
M,44,Married,Trades
M,44,Married,Trades
M,40,Married,Trades
M,38,Married,Sales
M,19,Single,Sales
M,19,Single,Sales
M,24,Single,Student
F,48,Married,Other
F,27,Single,Student
F,27,Single,Student
F,27,Single,Student
F,27,Single,Student
F,39,Single,Other
M,33,Married,Professional
M,33,Married,Professional
F,27,Married,Sales
M,26,Married,Other
M,33,Married,Other
M,34,Married,Sales
M,39,Married,Sales
F,42,Married,Other
M,28,Single,Professional
M,23,Single,Student
F,41,Married,Executive
F,41,Married,Executive
F,46,Married,Other
F,66,Unspecified,Hospitality
F,66,Unspecified,Hospitality
M,43,Married,Other
M,43,Married,Other
F,37,Married,Executive
M,43,Married,Other
M,21,Single,Student
M,42,Married,Other
M,27,Single,Trades
M,20,Single,Other
M,20,Single,Other
M,28,Single,Professional
M,31,Married,Trades
M,26,Single,Other
M,23,Single,Sales
F,35,Married,Other
F,35,Married,Other
M,58,Married,Other
F,49,Married,Other
F,41,Married,Retired
F,63,Married,Retired
F,38,Married,Other
F,30,Married,Hospitality
F,27,Single,Other
F,27,Single,Other
M,33,Married,Sales
M,33,Married,Sales
M,44,Married,Other
M,24,Single,Other
M,24,Single,Other
F,44,Married,Other
F,44,Married,Other
F,35,Married,Executive
M,24,Single,Other
M,24,Single,Other
M,44,Married,Trades
M,44,Married,Trades
M,44,Married,Trades
F,25,Single,Other
F,25,Single,Other
F,25,Single,Other
F,25,Single,Other
M,41,Single,Sales
M,41,Single,Sales
M,41,Single,Sales
M,41,Single,Sales
M,41,Single,Sales
M,41,Single,Sales
M,40,Married,Professional
F,39,Married,Executive
M,40,Married,Executive
M,40,Married,Executive
F,43,Married,Other
F,43,Married,Other
M,40,Married,Professional
M,24,Single,Student
M,39,Single,Executive
F,29,Single,Professional
F,29,Single,Professional
F,26,Single,Student
M,27,Single,Trades
M,27,Single,Trades
M,27,Single,Trades
M,22,Single,Trades
F,37,Married,Executive
M,33,Married,Executive
F,25,Single,Retail
M,33,Married,Executive
M,43,Married,Executive
M,42,Married,Executive
M,25,Married,Other
M,25,Married,Other
M,24,Single,Trades
M,24,Single,Trades
F,38,Married,Executive
F,28,Single,Professional
F,37,Single,Other
M,36,Single,Executive
M,36,Single,Executive
F,29,Single,Retail
F,29,Single,Retail
F,38,Married,Sales
M,31,Married,Other
M,34,Married,Other
F,47,Married,Other
F,47,Married,Other
F,26,Married,Retail
F,47,Married,Professional
M,41,Married,Professional
F,44,Married,Other
F,31,Married,Other
F,31,Married,Other
F,23,Single,Student
F,42,Unspecified,Hospitality
F,44,Unspecified,Hospitality
F,44,Unspecified,Hospitality
M,46,Married,Professional
M,46,Married,Professional
M,58,Married,Professional
M,58,Married,Professional
M,28,Single,Other
F,42,Married,Other
F,42,Married,Other
M,41,Married,Other
M,41,Married,Other
F,27,Single,Professional
F,65,Married,Retired
F,37,Single,Other
M,30,Married,Other
F,37,Married,Professional
F,37,Married,Professional
F,28,Single,Professional
M,20,Single,Trades
M,20,Single,Trades
M,55,Married,Other
M,55,Married,Other
M,55,Married,Other
M,40,Married,Executive
M,22,Single,Other
F,25,Married,Other
M,43,Married,Other
F,24,Single,Other
M,41,Single,Other
M,41,Single,Other
F,36,Married,Other
F,36,Married,Other
M,24,Single,Retail
M,24,Single,Retail
M,24,Single,Retail
M,21,Single,Sales
M,21,Single,Sales
M,41,Married,Trades
F,26,Single,Student
M,49,Married,Retired
M,49,Married,Retired
M,33,Married,Other
M,33,Married,Other
M,58,Married,Trades
M,58,Married,Trades
M,36,Married,Professional
M,48,Married,Trades
M,48,Married,Trades
F,19,Single,Other
F,25,Single,Other
M,55,Unspecified,Other
M,55,Unspecified,Other
M,55,Unspecified,Other
F,43,Unspecified,Hospitality
M,20,Single,Sales
F,41,Married,Professional
M,21,Single,Other
M,46,Married,Trades
F,32,Married,Other
M,26,Single,Other
F,20,Single,Other
F,19,Single,Hospitality
F,19,Single,Hospitality
F,19,Single,Hospitality
F,19,Single,Hospitality
M,59,Married,Other
M,45,Unspecified,Trades
F,45,Married,Executive
M,40,Married,Executive
M,40,Married,Executive
M,41,Married,Executive
M,41,Married,Executive
F,30,Married,Professional
F,30,Married,Professional
F,26,Married,Sales
F,26,Married,Sales
M,26,Single,Trades
M,29,Single,Other
F,34,Single,Professional
F,20,Single,Professional
F,30,Married,Executive
F,30,Married,Executive
M,30,Married,Other
F,25,Single,Professional
F,25,Single,Professional
F,25,Single,Professional
F,45,Married,Hospitality
F,45,Married,Hospitality
F,45,Married,Hospitality
M,37,Married,Executive
M,37,Married,Executive
M,37,Married,Executive
M,37,Married,Executive
F,38,Married,Other
F,28,Married,Executive
F,35,Single,Other
F,61,Married,Other
F,61,Married,Other
M,20,Single,Other
M,20,Single,Other
F,29,Single,Professional
F,22,Single,Other
F,37,Single,Other
M,24,Single,Executive
M,24,Single,Executive
M,26,Married,Sales
M,27,Single,Other
F,43,Married,Professional
F,59,Married,Other
F,41,Married,Professional
F,41,Married,Professional
F,30,Married,Other
F,30,Married,Other
F,30,Married,Other
F,30,Married,Other
M,30,Married,Other
M,25,Single,Professional
M,25,Single,Professional
M,42,Married,Sales
F,45,Married,Professional
F,38,Unspecified,Hospitality
F,34,Married,Other
M,20,Single,Trades
M,20,Single,Trades
F,33,Single,Other
F,31,Married,Executive
F,31,Married,Executive
M,28,Single,Trades
M,35,Married,Trades
M,35,Married,Trades
M,40,Married,Other
M,40,Married,Other
M,26,Married,Other
M,25,Married,Other
F,33,Married,Other
F,43,Married,Professional
M,31,Single,Other
M,37,Single,Professional
M,29,Single,Retail
M,19,Single,Retail
F,59,Married,Other
M,40,Married,Sales
M,40,Married,Sales
M,36,Married,Other
F,44,Unspecified,Hospitality
M,37,Married,Other
M,30,Married,Other
M,47,Married,Professional
M,21,Single,Student
M,21,Single,Student
M,21,Single,Student
F,47,Unspecified,Hospitality
F,24,Unspecified,Other
F,44,Married,Retired
F,44,Married,Retired
M,35,Married,Executive
M,58,Married,Other
M,39,Single,Professional
M,39,Single,Professional
M,39,Single,Professional
M,39,Single,Professional
F,39,Married,Other
M,32,Single,Student
M,32,Single,Student
M,32,Single,Student
F,27,Single,Professional
F,25,Married,Sales
F,25,Single,Professional
F,31,Married,Other
M,28,Single,Trades
M,28,Single,Trades
F,36,Unspecified,Hospitality
M,34,Single,Student
M,29,Single,Professional
M,29,Single,Professional
F,44,Married,Other
F,44,Married,Other
M,26,Married,Executive
M,36,Married,Professional
M,36,Married,Professional
M,36,Married,Professional
F,26,Single,Professional
F,26,Single,Professional
F,37,Married,Executive
M,40,Married,Executive
M,40,Married,Executive
M,40,Married,Executive
M,34,Married,Executive
M,32,Married,Trades
M,32,Married,Trades
F,28,Unspecified,Professional
F,28,Unspecified,Professional
F,28,Unspecified,Professional
F,28,Unspecified,Professional
F,45,Married,Hospitality
F,45,Married,Hospitality
F,45,Married,Hospitality
F,45,Married,Hospitality
M,20,Single,Student
M,20,Single,Student
M,20,Single,Student
M,20,Single,Student
M,42,Married,Trades
F,34,Married,Executive
M,28,Single,Other
M,28,Single,Other
M,25,Single,Sales
M,19,Single,Trades
M,19,Single,Trades
F,38,Married,Executive
M,19,Single,Professional
M,19,Single,Professional
M,19,Single,Professional
M,30,Single,Trades
M,30,Single,Trades
M,30,Single,Trades
F,39,Single,Professional
F,32,Married,Other
F,32,Married,Other
M,39,Married,Executive
F,49,Married,Other
F,41,Married,Executive
M,31,Single,Other
M,31,Single,Other
M,34,Unspecified,Sales
M,34,Unspecified,Sales
M,30,Married,Trades
M,18,Single,Student
M,30,Married,Other
M,30,Married,Other
M,37,Married,Professional
F,31,Single,Other
M,20,Single,Student
M,35,Married,Executive
M,35,Married,Executive
M,35,Married,Executive
M,35,Married,Executive
M,31,Married,Other
M,31,Married,Other
M,31,Married,Other
M,31,Married,Other
M,40,Single,Other
M,19,Single,Professional
M,19,Single,Professional
F,23,Married,Retail
F,23,Married,Retail
F,21,Single,Other
M,37,Single,Other
M,42,Married,Trades
M,42,Married,Trades
F,38,Married,Other
M,27,Single,Trades
M,27,Single,Trades
M,35,Married,Other
M,35,Married,Other
F,34,Married,Other
F,29,Single,Other
F,29,Single,Other
F,43,Married,Other
F,43,Married,Other
M,37,Married,Sales
M,37,Married,Sales
F,49,Married,Other
F,26,Single,Professional
M,28,Single,Sales
M,28,Single,Sales
F,27,Married,Executive
F,41,Married,Executive
M,27,Single,Sales
F,33,Single,Retail
F,33,Single,Retail
F,33,Single,Retail
F,33,Single,Retail
F,33,Single,Retail
F,43,Married,Other
F,29,Married,Sales
M,45,Married,Retired
M,45,Married,Retired
F,32,Single,Other
F,39,Married,Other
M,28,Married,Professional
M,26,Married,Other
M,26,Married,Other
M,26,Married,Other
F,45,Married,Other
F,45,Married,Other
F,41,Married,Other
F,41,Married,Other
F,27,Married,Other
M,33,Married,Executive
M,33,Married,Executive
F,31,Single,Professional
F,35,Unspecified,Other
F,35,Unspecified,Other
F,35,Unspecified,Other
F,29,Single,Other
F,29,Single,Other
F,46,Married,Other
M,29,Single,Professional
M,29,Single,Other
F,25,Single,Other
F,23,Single,Professional
F,28,Single,Professional
F,50,Married,Professional
M,26,Married,Other
M,26,Married,Other
M,43,Married,Other
M,37,Married,Other
M,37,Married,Other
F,28,Married,Sales
M,40,Married,Other
M,40,Married,Other
M,40,Married,Other
F,53,Married,Retail
M,30,Single,Student
M,30,Single,Student
F,38,Married,Professional
F,45,Unspecified,Hospitality
M,54,Married,Professional
M,54,Married,Professional
M,41,Married,Sales
M,41,Married,Sales
F,67,Married,Other
F,32,Single,Professional
F,37,Married,Other
F,37,Married,Other
M,24,Single,Student
M,24,Single,Student
F,21,Single,Sales
F,20,Single,Other
M,19,Single,Sales
F,20,Single,Professional
F,39,Single,Other
M,26,Married,Sales
M,24,Single,Retail
M,24,Single,Retail
M,24,Single,Retail
M,42,Married,Professional
F,29,Single,Professional
F,29,Single,Professional
F,29,Single,Professional
F,20,Single,Other
F,20,Single,Other
F,27,Single,Other
F,20,Single,Other
F,39,Single,Retail
M,25,Married,Sales
M,25,Married,Sales
F,38,Single,Other
M,21,Single,Sales
M,21,Single,Sales
F,26,Married,Retail
F,26,Married,Retail
M,33,Married,Sales
M,33,Married,Sales
M,25,Single,Sales
M,25,Single,Sales
F,46,Unspecified,Sales
M,36,Married,Other
M,27,Single,Trades
M,27,Single,Trades
M,39,Married,Sales
M,39,Married,Sales
M,39,Married,Sales
F,29,Married,Sales
F,24,Single,Professional
F,35,Married,Other
M,39,Married,Sales
M,39,Married,Sales
M,39,Married,Sales
M,39,Married,Sales
M,26,Single,Trades
F,25,Single,Other
M,56,Married,Other
M,56,Married,Other
M,43,Married,Other
M,25,Single,Other
M,25,Single,Other
M,55,Married,Other
M,55,Married,Other
F,22,Single,Student
M,46,Unspecified,Trades
M,46,Unspecified,Trades
F,47,Married,Executive
F,47,Married,Executive
F,26,Married,Other
M,27,Single,Sales
M,27,Single,Sales
F,21,Single,Other
F,19,Single,Retail
F,28,Married,Other
F,37,Married,Other
F,23,Married,Other
M,20,Single,Trades
F,30,Married,Other
F,63,Married,Other
M,37,Married,Trades
M,37,Married,Trades
F,26,Single,Professional
F,37,Single,Other
F,37,Single,Other
M,40,Married,Trades
M,40,Married,Trades
M,31,Married,Other
F,36,Married,Sales
F,37,Single,Other
F,33,Single,Professional
M,35,Married,Sales
M,35,Married,Sales
M,35,Married,Sales
F,34,Single,Retail
F,34,Single,Retail
F,27,Single,Other
M,31,Married,Executive
F,25,Single,Retail
M,54,Married,Other
M,54,Married,Other
F,31,Single,Professional
F,38,Married,Other
F,31,Married,Executive
F,31,Married,Executive
M,50,Married,Other
F,30,Married,Other
F,30,Married,Other
M,45,Married,Trades
M,45,Married,Trades
M,45,Married,Trades
F,44,Unspecified,Hospitality
M,35,Married,Trades
M,35,Married,Trades
M,35,Married,Trades
M,22,Single,Student
F,29,Married,Executive
M,35,Married,Sales
M,35,Married,Sales
M,27,Single,Trades
M,33,Married,Executive
M,35,Married,Sales
F,37,Married,Professional
M,30,Married,Other
F,22,Married,Retail
M,29,Single,Other
F,32,Married,Executive
M,41,Married,Professional
F,22,Single,Other
F,33,Married,Other
F,36,Single,Other
M,35,Married,Executive
M,35,Married,Executive
M,35,Married,Executive
M,33,Married,Other
M,48,Unspecified,Trades
F,30,Single,Professional
F,65,Married,Other
F,29,Married,Other
M,26,Single,Trades
M,49,Unspecified,Trades
M,26,Single,Professional
F,31,Married,Professional
F,47,Married,Retail
M,43,Married,Other
M,43,Married,Other
M,43,Married,Other
M,43,Married,Other
M,43,Married,Other
M,22,Single,Other
M,22,Single,Other
F,28,Single,Other
F,28,Single,Other
F,41,Unspecified,Hospitality
F,27,Married,Sales
M,27,Single,Professional
M,29,Single,Trades
M,29,Single,Trades
M,24,Single,Student
F,26,Married,Other
F,26,Married,Other
F,26,Married,Other
F,40,Married,Executive
F,40,Married,Executive
F,40,Married,Executive
F,40,Married,Executive
F,67,Married,Other
F,67,Married,Other
M,31,Unspecified,Professional
F,28,Single,Sales
M,37,Single,Executive
M,37,Single,Executive
M,48,Married,Trades
M,48,Married,Trades
M,48,Married,Trades
F,31,Married,Executive
F,31,Married,Executive
